ts_epoch_ms,open,high,low,close,volume
1762525800000,25110.5,25111.0,25045.5,25046.5,5980
1762525860000,25046.0,25070.75,25046.0,25063.0,3291
1762525920000,25063.25,25089.25,25047.5,25085.25,3112
1762525980000,25084.75,25088.75,25050.75,25051.5,1838
1762526040000,25051.5,25074.75,25045.25,25058.5,2281
1762526100000,25058.25,25061.0,25030.25,25032.0,2710
1762526160000,25032.25,25033.25,24997.75,25000.25,4546
1762526220000,24999.75,25006.75,24948.0,24950.5,4397
1762526280000,24951.75,24971.75,24938.0,24951.0,4264
1762526340000,24951.25,24956.0,24919.25,24925.25,3667
1762526400000,24925.5,24955.5,24917.75,24949.5,4139
1762526460000,24948.5,24962.75,24929.75,24958.75,3715
1762526520000,24957.75,24976.25,24939.75,24943.0,3354
1762526580000,24942.5,24992.75,24942.0,24987.75,2927
1762526640000,24987.75,24994.75,24967.75,24975.25,1820
1762526700000,24975.5,24993.0,24967.25,24984.75,2187
1762526760000,24984.0,24996.0,24939.0,24943.25,2722
1762526820000,24943.5,24966.5,24937.75,24943.0,1970
1762526880000,24942.25,24994.5,24932.5,24987.5,2807
1762526940000,24988.25,24997.5,24934.75,24935.0,2436
1762527000000,24936.5,24968.75,24930.25,24954.25,1965
1762527060000,24953.5,24984.5,24934.5,24962.25,2410
1762527120000,24961.75,25006.75,24953.25,24998.5,2078
1762527180000,24999.5,25013.5,24975.0,24985.5,2474
1762527240000,24986.25,25010.25,24980.0,24998.25,1610
1762527300000,24996.0,25013.0,24983.0,25005.75,1412
1762527360000,25004.5,25026.0,24994.5,25022.0,1975
1762527420000,25021.25,25038.75,25009.5,25030.0,2099
1762527480000,25030.0,25045.25,25025.25,25034.75,1879
1762527540000,25034.0,25034.75,25001.25,25028.0,1807
1762527600000,25018.0,25031.25,24964.5,24972.25,2981
1762527660000,24972.5,24976.5,24958.0,24970.75,2416
1762527720000,24970.25,24990.5,24960.75,24973.5,2469
1762527780000,24972.75,24973.75,24942.75,24950.0,2403
1762527840000,24950.5,24955.25,24936.75,24941.0,1929
1762527900000,24940.5,24965.0,24934.5,24945.75,2193
1762527960000,24944.0,24945.5,24888.0,24894.25,5017
1762528020000,24894.25,24903.25,24882.0,24895.75,2968
1762528080000,24895.5,24935.0,24892.0,24931.75,2780
1762528140000,24931.25,24975.75,24918.25,24970.25,3319
1762528200000,24970.25,25000.5,24962.0,24995.5,3801
1762528260000,24995.0,25020.25,24989.25,25005.0,2888
1762528320000,25005.25,25015.5,24987.0,24993.0,2354
1762528380000,24994.0,25022.5,24991.25,25011.0,2025
1762528440000,25011.75,25018.25,25002.0,25013.75,1629
1762528500000,25014.0,25043.25,25005.75,25034.5,2537
1762528560000,25034.5,25045.0,25018.5,25026.75,2489
1762528620000,25027.0,25029.0,25003.0,25014.0,2353
1762528680000,25014.75,25018.25,24993.5,25002.75,2571
1762528740000,25003.75,25028.0,24984.75,25006.5,2630
1762528800000,25007.5,25024.5,24997.0,25004.25,1935
1762528860000,25004.0,25039.0,25000.0,25007.0,2645
1762528920000,25007.0,25035.25,24998.5,25025.5,1696
1762528980000,25025.25,25025.25,24956.5,24958.75,2947
1762529040000,24959.0,24988.5,24953.75,24959.0,2129
1762529100000,24959.5,24999.0,24956.75,24995.25,2515
1762529160000,24995.5,25025.75,24994.75,24998.25,2485
1762529220000,24999.25,25017.0,24998.0,25006.5,1408
1762529280000,25006.5,25011.25,24980.0,24983.25,1897
1762529340000,24982.0,24991.25,24957.0,24969.25,2682
1762529400000,24969.0,24981.0,24960.5,24973.0,1845
1762529460000,24972.5,24980.25,24952.25,24969.25,1920
1762529520000,24969.75,24973.0,24951.5,24952.75,1883
1762529580000,24952.5,24968.5,24925.75,24928.75,2219
1762529640000,24928.75,24943.0,24916.5,24918.75,1997
1762529700000,24918.5,24935.25,24910.25,24928.25,2111
1762529760000,24928.5,24948.25,24917.25,24945.5,2171
1762529820000,24946.0,24963.5,24920.0,24924.5,1958
1762529880000,24924.0,24929.25,24908.5,24911.5,1882
1762529940000,24911.25,24915.0,24885.5,24891.75,1832
1762530000000,24890.75,24914.0,24889.0,24906.5,1808
1762530060000,24906.0,24908.0,24875.0,24882.25,1820
1762530120000,24882.75,24886.0,24873.25,24880.0,1528
1762530180000,24879.25,24891.0,24876.25,24880.0,1050
1762530240000,24880.0,24886.75,24864.5,24870.0,1401
1762530300000,24869.0,24874.75,24853.75,24864.0,1834
1762530360000,24863.25,24867.0,24843.5,24864.0,2005
1762530420000,24864.25,24886.5,24861.25,24878.0,2013
1762530480000,24878.0,24878.0,24853.75,24856.75,1439
1762530540000,24856.5,24866.0,24850.75,24860.5,1129
1762530600000,24860.0,24897.25,24858.0,24878.75,2293
1762530660000,24879.5,24883.25,24853.75,24860.0,1435
1762530720000,24859.75,24865.0,24850.5,24854.25,1278
1762530780000,24854.0,24861.25,24838.5,24853.25,1788
1762530840000,24852.75,24865.0,24852.75,24854.75,961
1762530900000,24854.0,24854.25,24843.0,24847.25,1010
1762530960000,24847.75,24853.25,24837.75,24839.5,1204
1762531020000,24838.25,24846.75,24828.25,24845.0,1724
1762531080000,24844.75,24847.0,24830.0,24831.75,1359
1762531140000,24832.0,24835.0,24823.0,24823.5,1295
1762531200000,24822.75,24854.75,24820.75,24848.5,2310
1762531260000,24848.75,24861.0,24846.25,24851.5,1428
1762531320000,24851.0,24851.0,24832.0,24833.5,1167
1762531380000,24833.5,24849.0,24833.5,24839.0,766
1762531440000,24838.25,24845.5,24818.5,24844.5,1497
1762531500000,24843.75,24855.0,24827.75,24848.75,1310
1762531560000,24848.25,24848.25,24815.0,24815.25,1393
1762531620000,24816.25,24831.5,24814.5,24830.0,1153
1762531680000,24830.25,24832.5,24811.0,24812.5,1253
1762531740000,24812.75,24815.75,24809.0,24812.75,917
1762531800000,24813.25,24826.0,24806.25,24810.75,1231
1762531860000,24810.5,24813.5,24787.0,24788.5,2296
1762531920000,24789.0,24790.5,24779.25,24784.0,2197
1762531980000,24784.25,24810.0,24784.25,24793.5,2479
1762532040000,24793.5,24794.75,24778.5,24787.75,1459
1762532100000,24788.0,24789.25,24774.0,24779.75,1488
1762532160000,24778.5,24782.25,24771.25,24775.5,1128
1762532220000,24776.5,24797.0,24776.5,24790.25,1610
1762532280000,24789.75,24809.25,24784.25,24803.25,1861
1762532340000,24803.0,24823.5,24802.25,24820.25,2011
1762532400000,24821.0,24835.0,24814.5,24826.75,2517
1762532460000,24827.0,24834.5,24809.75,24830.0,1705
1762532520000,24830.75,24834.25,24818.0,24820.25,1061
1762532580000,24820.25,24844.5,24820.0,24826.0,1202
1762532640000,24825.5,24833.75,24811.5,24813.25,1448
1762532700000,24813.75,24816.0,24801.5,24815.5,1518
1762532760000,24814.25,24823.0,24799.0,24804.5,1188
1762532820000,24804.25,24806.5,24793.0,24800.75,1253
1762532880000,24801.25,24809.25,24794.75,24797.0,976
1762532940000,24797.0,24800.0,24789.0,24795.5,1113
1762533000000,24795.5,24805.25,24790.75,24799.25,1034
1762533060000,24798.5,24812.0,24793.5,24805.25,1127
1762533120000,24804.0,24807.75,24785.25,24787.0,982
1762533180000,24786.25,24801.75,24785.25,24789.0,722
1762533240000,24788.0,24821.75,24788.0,24818.0,1546
1762533300000,24818.0,24822.25,24788.75,24791.75,1593
1762533360000,24791.5,24805.0,24783.75,24788.25,1210
1762533420000,24787.25,24798.5,24782.0,24783.25,778
1762533480000,24783.0,24791.75,24765.5,24766.75,1569
1762533540000,24767.5,24775.0,24766.25,24773.5,1080
1762533600000,24773.25,24782.5,24766.0,24781.25,1176
1762533660000,24781.0,24781.0,24756.5,24760.5,1402
1762533720000,24760.5,24776.75,24759.25,24771.75,1142
1762533780000,24772.25,24795.5,24761.5,24792.5,1400
1762533840000,24793.5,24804.5,24788.0,24801.75,1382
1762533900000,24802.25,24808.0,24794.75,24797.75,950
1762533960000,24797.25,24800.25,24763.0,24767.25,1777
1762534020000,24766.5,24781.0,24760.75,24767.75,998
1762534080000,24768.75,24776.0,24762.75,24771.0,702
1762534140000,24771.5,24773.5,24762.25,24768.75,484
1762534200000,24768.0,24786.5,24766.0,24777.5,1195
1762534260000,24777.0,24810.0,24772.75,24798.75,1512
1762534320000,24799.5,24805.25,24790.75,24799.5,943
1762534380000,24799.25,24808.75,24791.5,24794.5,848
1762534440000,24794.5,24796.5,24768.25,24771.0,1418
1762534500000,24770.5,24777.25,24750.0,24750.75,1802
1762534560000,24750.5,24755.25,24745.75,24748.0,1731
1762534620000,24748.5,24752.25,24720.0,24721.0,2287
1762534680000,24721.5,24730.75,24718.75,24729.25,1213
1762534740000,24729.0,24750.25,24729.0,24746.75,1359
