ts_epoch_ms,open,high,low,close,volume
1761312600000,68207.5,68207.5,68140.0,68147.5,10646
1761312660000,68150.0,68175.0,68125.0,68140.0,7328
1761312720000,68140.0,68192.5,68137.5,68185.0,5958
1761312780000,68187.5,68205.0,68180.0,68192.5,4347
1761312840000,68190.0,68247.5,68190.0,68245.0,5952
1761312900000,68247.5,68272.5,68242.5,68265.0,7516
1761312960000,68265.0,68302.5,68247.5,68300.0,8465
1761313020000,68300.0,68317.5,68290.0,68297.5,7244
1761313080000,68297.5,68330.0,68285.0,68330.0,5751
1761313140000,68327.5,68337.5,68275.0,68280.0,5757
1761313200000,68280.0,68300.0,68250.0,68275.0,7162
1761313260000,68277.5,68282.5,68257.5,68272.5,3830
1761313320000,68270.0,68282.5,68250.0,68282.5,5809
1761313380000,68285.0,68305.0,68260.0,68295.0,5200
1761313440000,68295.0,68302.5,68272.5,68297.5,2260
1761313500000,68292.5,68335.0,68285.0,68322.5,7178
1761313560000,68322.5,68350.0,68315.0,68325.0,5564
1761313620000,68325.0,68335.0,68277.5,68277.5,6316
1761313680000,68280.0,68290.0,68257.5,68277.5,5555
1761313740000,68275.0,68277.5,68247.5,68262.5,4794
1761313800000,68262.5,68262.5,68215.0,68225.0,7186
1761313860000,68225.0,68257.5,68212.5,68250.0,5147
1761313920000,68250.0,68287.5,68222.5,68280.0,5639
1761313980000,68282.5,68292.5,68260.0,68265.0,4733
1761314040000,68265.0,68267.5,68242.5,68260.0,4130
1761314100000,68260.0,68287.5,68247.5,68275.0,3648
1761314160000,68275.0,68307.5,68270.0,68295.0,3723
1761314220000,68295.0,68302.5,68257.5,68260.0,4054
1761314280000,68260.0,68282.5,68252.5,68277.5,2453
1761314340000,68275.0,68312.5,68270.0,68295.0,2098
1761314400000,68300.0,68322.5,68290.0,68315.0,4411
1761314460000,68315.0,68325.0,68285.0,68310.0,3586
1761314520000,68310.0,68322.5,68267.5,68275.0,4099
1761314580000,68277.5,68317.5,68272.5,68315.0,3115
1761314640000,68315.0,68330.0,68275.0,68307.5,5972
1761314700000,68307.5,68322.5,68295.0,68320.0,4483
1761314760000,68320.0,68355.0,68317.5,68330.0,4463
1761314820000,68332.5,68352.5,68330.0,68342.5,3470
1761314880000,68342.5,68345.0,68315.0,68320.0,2730
1761314940000,68322.5,68347.5,68312.5,68345.0,2587
1761315000000,68347.5,68355.0,68335.0,68352.5,2378
1761315060000,68352.5,68355.0,68317.5,68327.5,2926
1761315120000,68327.5,68350.0,68327.5,68345.0,2783
1761315180000,68347.5,68352.5,68337.5,68342.5,1662
1761315240000,68345.0,68350.0,68332.5,68342.5,2239
1761315300000,68345.0,68345.0,68310.0,68310.0,2789
1761315360000,68312.5,68325.0,68302.5,68322.5,2676
1761315420000,68325.0,68325.0,68295.0,68312.5,3160
1761315480000,68312.5,68325.0,68305.0,68325.0,1995
1761315540000,68325.0,68325.0,68297.5,68317.5,2682
1761315600000,68315.0,68315.0,68272.5,68282.5,3343
1761315660000,68280.0,68307.5,68272.5,68297.5,3153
1761315720000,68297.5,68300.0,68257.5,68267.5,3475
1761315780000,68267.5,68300.0,68265.0,68297.5,3709
1761315840000,68300.0,68300.0,68282.5,68292.5,5986
1761315900000,68292.5,68295.0,68262.5,68272.5,2950
1761315960000,68275.0,68292.5,68250.0,68255.0,2971
1761316020000,68252.5,68262.5,68245.0,68247.5,3748
1761316080000,68247.5,68280.0,68237.5,68277.5,5579
1761316140000,68277.5,68277.5,68240.0,68242.5,3020
1761316200000,68240.0,68247.5,68185.0,68190.0,5803
1761316260000,68190.0,68215.0,68172.5,68207.5,6779
1761316320000,68207.5,68227.5,68190.0,68217.5,4160
1761316380000,68215.0,68240.0,68212.5,68225.0,2547
1761316440000,68225.0,68245.0,68225.0,68245.0,2351
1761316500000,68242.5,68245.0,68202.5,68212.5,2869
1761316560000,68212.5,68222.5,68190.0,68222.5,3365
1761316620000,68225.0,68255.0,68215.0,68250.0,3309
1761316680000,68252.5,68260.0,68240.0,68250.0,3760
1761316740000,68250.0,68277.5,68245.0,68270.0,4553
1761316800000,68267.5,68292.5,68265.0,68285.0,3390
1761316860000,68285.0,68295.0,68282.5,68287.5,2657
1761316920000,68290.0,68312.5,68287.5,68310.0,2764
1761316980000,68307.5,68320.0,68307.5,68317.5,3552
1761317040000,68320.0,68330.0,68310.0,68317.5,3528
1761317100000,68320.0,68325.0,68305.0,68322.5,2531
1761317160000,68322.5,68327.5,68290.0,68305.0,3703
1761317220000,68307.5,68317.5,68297.5,68310.0,2250
1761317280000,68310.0,68312.5,68297.5,68302.5,2337
1761317340000,68302.5,68307.5,68285.0,68302.5,2033
1761317400000,68305.0,68307.5,68282.5,68292.5,2911
1761317460000,68295.0,68297.5,68270.0,68280.0,3406
1761317520000,68282.5,68282.5,68245.0,68245.0,4041
