ts_epoch_ms,open,high,low,close,volume
1761312600000,25466.5,25467.25,25433.25,25436.75,4863
1761312660000,25437.0,25458.5,25429.75,25442.75,3567
1761312720000,25442.75,25467.25,25441.0,25464.0,2403
1761312780000,25463.5,25472.75,25461.75,25468.25,1755
1761312840000,25468.5,25493.75,25467.25,25490.0,2920
1761312900000,25490.75,25504.0,25487.0,25503.25,4180
1761312960000,25503.25,25521.0,25494.75,25519.5,2642
1761313020000,25519.75,25529.5,25518.0,25523.5,2714
1761313080000,25524.75,25527.5,25509.0,25525.25,2250
1761313140000,25525.0,25530.5,25505.0,25506.25,2396
1761313200000,25506.0,25519.25,25497.0,25509.25,2383
1761313260000,25509.5,25513.25,25501.75,25512.25,1355
1761313320000,25512.0,25518.75,25506.75,25512.5,1488
1761313380000,25512.75,25518.75,25492.5,25507.25,1797
1761313440000,25507.75,25520.25,25498.75,25512.25,1071
1761313500000,25506.75,25535.0,25500.25,25513.5,2669
1761313560000,25513.75,25527.25,25511.25,25516.25,1848
1761313620000,25516.0,25520.0,25491.25,25493.75,2510
1761313680000,25494.0,25498.75,25476.25,25487.25,2646
1761313740000,25486.25,25488.5,25476.5,25485.0,1435
1761313800000,25484.75,25485.0,25464.0,25470.75,2822
1761313860000,25471.0,25488.0,25466.5,25477.5,2085
1761313920000,25478.0,25490.5,25467.75,25486.0,1761
1761313980000,25485.75,25493.25,25480.0,25482.5,1585
1761314040000,25482.25,25489.25,25472.5,25483.5,1181
1761314100000,25483.5,25495.5,25479.25,25495.25,1260
1761314160000,25495.25,25509.75,25494.75,25506.5,1572
1761314220000,25506.25,25511.75,25480.75,25487.75,1820
1761314280000,25487.25,25498.5,25485.0,25495.75,896
1761314340000,25495.25,25514.75,25494.25,25506.0,1119
1761314400000,25506.0,25524.75,25493.25,25521.75,2317
1761314460000,25520.75,25529.0,25509.75,25526.25,1857
1761314520000,25526.5,25530.0,25505.5,25507.25,2036
1761314580000,25507.75,25521.5,25505.75,25520.0,1355
1761314640000,25519.5,25527.0,25500.75,25514.25,2463
1761314700000,25514.25,25522.0,25511.25,25521.0,1518
1761314760000,25520.5,25548.75,25519.75,25528.25,2850
1761314820000,25528.75,25541.25,25527.75,25534.5,1463
1761314880000,25534.5,25535.25,25519.0,25522.5,1142
1761314940000,25523.25,25532.75,25516.5,25532.5,1075
1761315000000,25532.0,25537.0,25529.5,25534.0,1014
1761315060000,25534.5,25535.0,25520.75,25525.0,853
1761315120000,25525.75,25541.0,25524.25,25539.0,1312
1761315180000,25539.0,25541.5,25533.75,25537.0,659
1761315240000,25536.5,25540.75,25532.0,25537.75,638
1761315300000,25538.5,25539.75,25525.0,25525.5,1133
1761315360000,25525.25,25530.5,25520.5,25528.0,869
1761315420000,25527.25,25529.0,25520.5,25529.0,971
1761315480000,25528.5,25533.5,25525.25,25533.25,678
1761315540000,25532.75,25533.25,25521.25,25531.25,1044
1761315600000,25531.0,25531.0,25506.25,25511.25,1474
1761315660000,25510.75,25523.25,25507.0,25519.25,979
1761315720000,25519.25,25522.0,25502.25,25503.0,1260
1761315780000,25502.75,25516.5,25502.0,25514.5,1148
1761315840000,25514.0,25520.25,25510.0,25515.25,1324
1761315900000,25514.75,25515.5,25501.0,25503.75,1113
1761315960000,25504.25,25512.75,25495.25,25497.25,1367
1761316020000,25496.75,25504.0,25494.0,25499.0,1043
1761316080000,25498.25,25514.75,25495.0,25513.25,1332
1761316140000,25512.75,25513.5,25498.25,25499.75,925
1761316200000,25499.25,25502.75,25474.5,25475.25,2208
1761316260000,25475.75,25488.25,25469.0,25481.75,2646
1761316320000,25481.75,25491.5,25471.5,25484.25,1884
1761316380000,25484.25,25496.75,25482.75,25492.5,1147
1761316440000,25492.25,25503.5,25491.5,25500.75,880
1761316500000,25500.25,25501.5,25484.0,25488.25,1012
1761316560000,25487.75,25494.5,25477.5,25494.5,1234
1761316620000,25494.0,25507.25,25490.5,25505.75,1052
1761316680000,25505.75,25508.25,25501.0,25504.75,1077
1761316740000,25505.0,25516.5,25500.0,25511.0,1554
1761316800000,25510.5,25520.0,25509.75,25517.25,1154
1761316860000,25517.75,25521.25,25516.75,25519.75,807
1761316920000,25520.0,25525.75,25518.0,25525.0,919
1761316980000,25525.25,25533.25,25524.5,25532.25,1307
1761317040000,25533.0,25536.0,25529.0,25531.25,984
1761317100000,25531.25,25533.5,25524.25,25531.0,1196
1761317160000,25531.0,25533.0,25513.25,25521.25,1876
1761317220000,25521.75,25525.25,25517.75,25522.5,802
1761317280000,25522.75,25523.5,25516.75,25518.0,681
1761317340000,25518.25,25519.25,25510.0,25513.75,917
1761317400000,25514.75,25517.0,25503.5,25507.25,1334
1761317460000,25507.0,25507.5,25494.75,25499.25,1776
1761317520000,25498.5,25498.5,25480.5,25480.5,1854
1761317580000,25481.0,25485.5,25470.5,25472.0,1853
1761317640000,25471.5,25476.5,25463.0,25472.75,1959
1761317700000,25472.75,25472.75,25459.0,25464.5,1906
1761317760000,25464.5,25474.75,25431.5,25446.25,3243
1761317820000,25446.75,25460.75,25442.0,25458.5,1780
1761317880000,25458.5,25471.5,25458.25,25466.25,1559
1761317940000,25465.5,25473.5,25462.0,25468.0,1502
1761318000000,25467.75,25474.5,25460.25,25471.5,1381
1761318060000,25471.25,25472.75,25457.25,25461.25,971
1761318120000,25461.0,25469.5,25460.25,25468.0,668
1761318180000,25467.5,25481.25,25464.0,25477.5,1465
1761318240000,25477.0,25479.5,25465.5,25468.5,964
1761318300000,25468.5,25470.0,25456.75,25465.75,1079
1761318360000,25465.75,25475.0,25459.75,25463.75,817
1761318420000,25464.25,25476.75,25457.5,25475.25,684
1761318480000,25475.75,25478.25,25468.0,25472.25,558
1761318540000,25472.25,25488.25,25472.25,25487.25,1099
1761318600000,25487.0,25490.75,25482.0,25485.25,1013
1761318660000,25485.25,25490.0,25473.25,25481.0,948
1761318720000,25481.0,25492.5,25476.5,25491.0,541
1761318780000,25490.75,25499.5,25489.0,25495.25,944
1761318840000,25495.5,25503.5,25495.5,25502.0,877
1761318900000,25502.5,25514.75,25502.5,25513.0,1316
1761318960000,25513.25,25521.75,25512.5,25515.5,1594
1761319020000,25515.25,25518.0,25508.75,25509.75,1078
1761319080000,25510.0,25518.5,25509.5,25516.0,739
1761319140000,25516.75,25518.5,25511.25,25513.25,640
1761319200000,25513.5,25525.75,25512.5,25523.0,1186
1761319260000,25523.25,25528.5,25520.5,25524.75,1120
1761319320000,25525.25,25537.0,25525.25,25529.25,1461
1761319380000,25529.75,25537.5,25528.25,25536.5,747
1761319440000,25537.0,25543.75,25536.75,25539.25,2814
1761319500000,25539.25,25542.5,25535.25,25537.25,1008
1761319560000,25537.75,25539.25,25534.5,25538.75,605
1761319620000,25539.0,25541.0,25530.75,25538.75,850
1761319680000,25539.0,25541.0,25527.75,25530.5,864
1761319740000,25530.75,25535.5,25530.0,25534.5,557
1761319800000,25535.25,25540.25,25532.75,25534.75,728
1761319860000,25535.75,25546.5,25534.75,25541.75,1273
1761319920000,25542.5,25545.0,25539.75,25544.25,688
1761319980000,25543.75,25544.5,25539.0,25540.5,608
1761320040000,25540.25,25541.0,25530.0,25530.75,1065
1761320100000,25530.5,25530.5,25513.25,25521.75,2237
1761320160000,25521.25,25539.0,25521.25,25536.5,1222
1761320220000,25537.0,25537.5,25527.75,25531.25,754
1761320280000,25531.0,25536.25,25528.0,25535.75,563
1761320340000,25535.0,25537.0,25531.0,25534.5,389
1761320400000,25534.75,25535.25,25524.5,25527.5,782
1761320460000,25527.5,25531.25,25524.75,25529.75,545
1761320520000,25530.25,25531.5,25519.5,25529.0,781
1761320580000,25529.5,25531.5,25523.25,25524.25,578
1761320640000,25524.0,25529.25,25517.5,25521.25,812
1761320700000,25521.25,25521.75,25500.75,25517.75,2547
1761320760000,25517.0,25525.5,25513.75,25521.5,910
1761320820000,25520.25,25526.5,25515.25,25523.75,636
1761320880000,25524.25,25526.75,25520.5,25523.5,484
1761320940000,25523.25,25525.25,25517.75,25520.75,506
1761321000000,25520.75,25536.25,25517.25,25528.0,1468
1761321060000,25527.75,25527.75,25515.75,25527.5,700
1761321120000,25526.5,25531.25,25523.0,25530.75,533
1761321180000,25530.75,25532.5,25519.75,25521.25,605
1761321240000,25521.5,25525.75,25520.75,25522.5,518
1761321300000,25523.0,25523.0,25502.5,25506.75,1796
1761321360000,25506.75,25519.75,25505.75,25517.0,582
1761321420000,25516.75,25524.0,25515.0,25523.0,513
1761321480000,25523.0,25524.0,25520.0,25521.75,279
1761321540000,25521.25,25529.0,25521.25,25523.0,601
1761321600000,25522.5,25534.5,25522.5,25533.25,759
1761321660000,25533.0,25539.0,25526.25,25529.75,1393
1761321720000,25529.5,25533.25,25521.25,25531.5,825
1761321780000,25531.75,25536.5,25530.5,25531.25,367
1761321840000,25531.0,25536.75,25530.0,25535.25,293
1761321900000,25535.25,25535.75,25521.0,25522.5,711
1761321960000,25522.75,25527.0,25522.75,25525.0,375
1761322020000,25525.0,25530.0,25522.0,25527.75,377
1761322080000,25528.25,25533.5,25526.75,25533.5,614
1761322140000,25533.5,25537.5,25531.75,25533.75,523
1761322200000,25534.5,25538.25,25532.0,25532.25,295
1761322260000,25532.5,25538.5,25532.0,25534.25,373
1761322320000,25534.0,25540.0,25534.0,25539.5,350
1761322380000,25539.75,25542.5,25537.25,25539.25,479
1761322440000,25539.5,25542.25,25539.0,25539.25,319
1761322500000,25538.5,25540.5,25536.5,25537.25,289
1761322560000,25537.5,25542.5,25537.25,25542.0,263
1761322620000,25541.75,25542.25,25535.0,25540.5,404
