ts_iso,ts_epoch_ms,open,high,low,close
2025-10-22T19:25:00-04:00,1761175500000,25051.75,25052.00,25046.50,25049.00
2025-10-22T19:26:00-04:00,1761175560000,25049.00,25050.00,25045.75,25046.25
2025-10-22T19:27:00-04:00,1761175620000,25046.50,25047.75,25045.75,25046.25
2025-10-26T18:58:00-04:00,1761519480000,25717.50,25724.25,25717.50,25722.75
2025-10-26T18:59:00-04:00,1761519540000,25722.00,25724.25,25720.00,25721.25
2025-10-26T19:00:00-04:00,1761519600000,25722.00,25736.25,25722.00,25733.00
2025-10-26T19:01:00-04:00,1761519660000,25733.75,25742.00,25730.50,25740.75
2025-10-26T20:31:00-04:00,1761525060000,25733.50,25734.50,25732.50,25734.25
2025-10-26T20:32:00-04:00,1761525120000,25734.00,25741.00,25734.00,25739.75
2025-10-26T20:33:00-04:00,1761525180000,25739.00,25741.75,25737.25,25737.75
2025-10-26T20:34:00-04:00,1761525240000,25737.25,25739.00,25735.50,25735.75
