rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
33,1,158704,24770.25,24778.25,24768.75,24774.75,1203,NQZ5
33,1,158704,24775.25,24786.5,24771.25,24779.75,1337,NQZ5
33,1,158704,24779.75,24789.0,24775.0,24786.75,1566,NQZ5
33,1,158704,24787.0,24796.75,24782.25,24796.25,1199,NQZ5
33,1,158704,24796.75,24806.0,24792.5,24803.5,1264,NQZ5
33,1,158704,24804.0,24805.25,24795.25,24796.75,872,NQZ5
33,1,158704,24796.25,24802.0,24793.5,24798.5,761,NQZ5
33,1,158704,24798.75,24799.0,24771.0,24775.5,2025,NQZ5
33,1,158704,24775.25,24788.5,24775.25,24786.0,1004,NQZ5
33,1,158704,24787.25,24788.0,24773.75,24775.5,973,NQZ5
33,1,158704,24775.5,24780.25,24771.0,24774.5,989,NQZ5
33,1,158704,24774.25,24776.25,24767.75,24769.25,597,NQZ5
33,1,158704,24769.75,24780.0,24767.25,24772.25,827,NQZ5
33,1,158704,24772.0,24779.0,24761.5,24771.75,1035,NQZ5
33,1,158704,24772.25,24778.75,24765.25,24776.5,584,NQZ5
33,1,158704,24776.0,24776.0,24765.0,24767.5,812,NQZ5
33,1,158704,24767.0,24772.75,24765.0,24771.5,576,NQZ5
33,1,158704,24772.0,24782.0,24769.25,24780.5,929,NQZ5
33,1,158704,24780.25,24782.5,24774.5,24779.25,599,NQZ5
33,1,158704,24779.75,24782.0,24766.75,24767.5,691,NQZ5
33,1,158704,24768.0,24778.5,24763.75,24778.25,1095,NQZ5
33,1,158704,24777.5,24798.0,24777.5,24798.0,1851,NQZ5
33,1,158704,24798.25,24804.0,24793.75,24796.5,1404,NQZ5
33,1,158704,24796.5,24810.0,24795.5,24806.75,943,NQZ5
33,1,158704,24806.25,24806.75,24787.5,24798.0,1178,NQZ5
33,1,158704,24798.25,24807.75,24798.25,24804.5,959,NQZ5
33,1,158704,24804.75,24805.25,24800.0,24803.25,543,NQZ5
33,1,158704,24803.0,24806.75,24796.25,24799.0,782,NQZ5
33,1,158704,24798.5,24803.75,24785.5,24791.0,966,NQZ5
33,1,158704,24792.25,24819.75,24792.25,24811.75,1930,NQZ5
33,1,158704,24811.5,24821.0,24808.5,24809.0,1438,NQZ5
33,1,158704,24809.0,24813.0,24807.0,24810.75,848,NQZ5
33,1,158704,24810.5,24819.5,24809.5,24813.25,929,NQZ5
33,1,158704,24812.5,24817.25,24803.0,24815.75,986,NQZ5
33,1,158704,24815.25,24816.25,24806.75,24810.5,448,NQZ5
33,1,158704,24811.0,24812.25,24800.5,24804.0,750,NQZ5
33,1,158704,24804.25,24807.0,24800.5,24802.5,472,NQZ5
33,1,158704,24802.5,24809.5,24797.25,24808.25,646,NQZ5
33,1,158704,24808.0,24816.25,24806.75,24810.75,672,NQZ5
33,1,158704,24810.75,24812.0,24801.25,24801.5,389,NQZ5
33,1,158704,24801.5,24805.75,24779.75,24793.25,1720,NQZ5
33,1,158704,24793.25,24798.25,24790.75,24797.75,594,NQZ5
33,1,158704,24798.0,24798.25,24786.75,24792.0,1090,NQZ5
33,1,158704,24792.5,24797.25,24788.25,24797.25,506,NQZ5
33,1,158704,24796.5,24796.75,24788.75,24792.0,474,NQZ5
33,1,158704,24792.25,24793.25,24786.0,24789.25,420,NQZ5
33,1,158704,24790.5,24796.25,24787.0,24794.25,318,NQZ5
33,1,158704,24795.25,24800.75,24788.5,24794.25,811,NQZ5
33,1,158704,24793.75,24798.75,24789.25,24790.75,442,NQZ5
33,1,158704,24790.75,24797.0,24790.5,24794.5,279,NQZ5
33,1,158704,24794.25,24803.75,24790.5,24803.75,592,NQZ5
33,1,158704,24804.0,24808.25,24802.75,24807.0,650,NQZ5
33,1,158704,24806.5,24820.5,24806.5,24819.5,1353,NQZ5
33,1,158704,24819.75,24843.75,24819.25,24838.75,3345,NQZ5
33,1,158704,24838.5,24842.25,24829.0,24829.25,1151,NQZ5
33,1,158704,24828.75,24831.25,24820.0,24821.5,841,NQZ5
33,1,158704,24821.75,24824.0,24813.25,24815.5,756,NQZ5
33,1,158704,24816.75,24819.75,24810.75,24817.0,652,NQZ5
33,1,158704,24817.25,24817.5,24802.0,24803.5,697,NQZ5
33,1,158704,24803.5,24809.75,24803.5,24807.75,486,NQZ5
33,1,158704,24808.0,24817.0,24808.0,24815.5,716,NQZ5
33,1,158704,24814.75,24816.0,24805.5,24810.5,495,NQZ5
33,1,158704,24811.0,24824.25,24810.75,24821.75,955,NQZ5
33,1,158704,24822.25,24824.0,24813.25,24815.0,594,NQZ5
33,1,158704,24814.25,24821.25,24814.25,24817.5,432,NQZ5
33,1,158704,24818.25,24819.75,24811.75,24814.25,315,NQZ5
33,1,158704,24814.5,24814.75,24809.0,24809.75,470,NQZ5
33,1,158704,24810.0,24818.5,24808.0,24815.5,462,NQZ5
33,1,158704,24816.0,24816.0,24810.25,24810.5,257,NQZ5
33,1,158704,24811.0,24815.0,24808.25,24809.25,315,NQZ5
33,1,158704,24809.25,24814.0,24804.75,24807.25,581,NQZ5
33,1,158704,24807.0,24809.5,24805.5,24807.75,223,NQZ5
33,1,158704,24808.0,24809.0,24803.5,24806.0,402,NQZ5
33,1,158704,24806.25,24809.0,24802.5,24804.25,460,NQZ5
33,1,158704,24804.5,24807.0,24797.75,24798.75,590,NQZ5
33,1,158704,24799.25,24803.75,24796.0,24801.5,522,NQZ5
33,1,158704,24801.25,24815.75,24801.25,24814.75,689,NQZ5
33,1,158704,24814.5,24817.25,24807.0,24811.0,581,NQZ5
33,1,158704,24811.0,24812.0,24798.25,24800.5,651,NQZ5
33,1,158704,24800.75,24801.5,24794.25,24796.25,426,NQZ5
33,1,158704,24796.75,24797.0,24792.25,24794.25,510,NQZ5
33,1,158704,24794.25,24799.75,24793.5,24795.5,345,NQZ5
33,1,158704,24795.75,24801.0,24794.0,24796.25,591,NQZ5
33,1,158704,24795.75,24799.0,24792.25,24798.0,338,NQZ5
33,1,158704,24797.75,24802.25,24796.25,24802.25,332,NQZ5
33,1,158704,24801.5,24804.5,24794.75,24795.25,439,NQZ5
33,1,158704,24795.5,24796.75,24791.25,24795.0,409,NQZ5
33,1,158704,24795.5,24799.5,24791.75,24793.0,418,NQZ5
33,1,158704,24793.0,24797.75,24790.75,24794.0,369,NQZ5
33,1,158704,24794.5,24798.25,24791.75,24794.0,245,NQZ5
33,1,158704,24794.0,24794.25,24767.75,24779.25,1877,NQZ5
33,1,158704,24780.0,24785.75,24777.0,24783.25,678,NQZ5
33,1,158704,24783.0,24783.5,24771.0,24777.25,1496,NQZ5
33,1,158704,24777.0,24783.5,24776.25,24782.75,555,NQZ5
33,1,158704,24783.0,24787.0,24777.5,24780.0,528,NQZ5
33,1,158704,24780.0,24784.0,24775.25,24776.0,546,NQZ5
33,1,158704,24775.75,24778.75,24773.25,24776.5,378,NQZ5
33,1,158704,24776.25,24783.5,24775.75,24780.5,452,NQZ5
33,1,158704,24780.25,24782.0,24772.0,24774.75,441,NQZ5
33,1,158704,24775.0,24776.5,24771.5,24773.5,319,NQZ5
33,1,158704,24774.0,24777.25,24770.25,24776.75,396,NQZ5
33,1,158704,24776.75,24780.75,24775.0,24779.5,386,NQZ5
33,1,158704,24779.25,24781.75,24767.25,24769.25,758,NQZ5
33,1,158704,24769.0,24769.0,24754.0,24762.75,1450,NQZ5
33,1,158704,24763.0,24767.25,24758.75,24765.75,579,NQZ5
33,1,158704,24765.75,24772.75,24763.5,24763.75,564,NQZ5
33,1,158704,24764.0,24768.75,24760.25,24767.75,382,NQZ5
33,1,158704,24767.25,24767.5,24759.5,24761.0,688,NQZ5
33,1,158704,24760.75,24776.25,24759.75,24763.5,1056,NQZ5
33,1,158704,24763.0,24768.75,24762.0,24764.0,403,NQZ5
33,1,158704,24764.0,24764.75,24759.0,24761.25,415,NQZ5
33,1,158704,24760.75,24765.25,24759.75,24764.0,274,NQZ5
33,1,158704,24763.75,24765.5,24758.75,24763.25,471,NQZ5
33,1,158704,24763.0,24763.75,24746.0,24749.0,1539,NQZ5
33,1,158704,24748.75,24754.25,24745.25,24753.5,653,NQZ5
33,1,158704,24753.75,24754.75,24743.0,24745.75,579,NQZ5
33,1,158704,24745.5,24747.75,24735.75,24740.75,835,NQZ5
33,1,158704,24740.75,24748.5,24740.25,24743.5,666,NQZ5
33,1,158704,24743.25,24744.5,24736.0,24739.0,674,NQZ5
33,1,158704,24739.25,24743.5,24732.75,24739.0,773,NQZ5
33,1,158704,24739.25,24740.5,24734.25,24740.0,493,NQZ5
33,1,158704,24740.25,24751.25,24738.5,24748.25,967,NQZ5
33,1,158704,24748.25,24748.25,24735.25,24736.5,989,NQZ5
33,1,158704,24735.75,24739.5,24732.5,24736.25,670,NQZ5
33,1,158704,24735.25,24745.0,24734.25,24740.25,909,NQZ5
33,1,158704,24740.0,24749.5,24739.5,24749.0,645,NQZ5
33,1,158704,24749.0,24749.25,24744.75,24747.25,635,NQZ5
33,1,158704,24747.5,24754.0,24746.5,24752.25,897,NQZ5
33,1,158704,24751.5,24751.75,24731.75,24737.5,1393,NQZ5
